merchant_category,transaction_id,customer_id,payment_method,location,is_fraud,transaction_amount,timestamp
entertainment,TR35155,C9048,UPI,Moenl,1,20.18,2025-08-22 04:48:37
clothing,TR44026,C0013,UPI,North,1,20.4,2025-06-24 12:56:44
clothing,TR96981,C3045,UPI,Selina,1,20.22,2025-08-07 08:26:17
entertainment,TR45518,C2900,UPI,Hilll,1,20.43,2025-06-02 12:56:17
electronics,TR19771,C0020,UPI,Newi,1,20.21,2025-06-20 06:17:42
entertainment,TR77141,C9009,UPI,Northqt,1,20.23,2025-08-01 15:08:01
entertainment,TR61597,C9000,UPI,Southvr,1,20.43,2025-04-11 04:56:46
clothing,TR07240,C6333,UPI,Lake,1,20.2,2025-07-05 10:35:07
electronics,TR31380,C6000,UPI,Eastu,1,20.26,2025-07-12 21:14:36
entertainment,TR18661,C0090,UPI,Westt,1,20.23,2025-05-22 00:00:10
electronics,TR48636,C7206,UPI,Jenevaber,1,20.32,2025-02-26 02:04:42
grocery,TR65422,C6870,UPI,Lake,1,20.36,2025-05-24 18:40:57
entertainment,TR34047,C3002,UPI,Strosin,1,20.24,2025-04-11 07:10:32
electronics,TR14095,C9093,UPI,Portlbrentcks,1,20.14,2025-07-23 08:24:25
electronics,TR08499,C2207,UPI,Northsd,1,20.29,2025-03-07 00:38:50
electronics,TR53645,C7000,UPI,Lynch,1,20.15,2025-07-04 09:04:43
electronics,TR85402,C1000,UPI,Aileneb,1,20.14,2025-05-21 04:21:57
clothing,TR54228,C7262,UPI,Portzbeatamou,1,20.41,2025-07-23 11:46:05
clothing,TR84747,C5000,UPI,Northncherish,1,20.25,2025-07-12 08:22:15
electronics,TR73538,C8060,UPI,Davisst,1,20.19,2025-02-24 08:33:13
grocery,TR80422,C2040,UPI,Southdf,1,20.21,2025-06-08 17:26:12
electronics,TR51430,C7002,UPI,Jamesmout,1,20.23,2025-08-21 19:51:06
entertainment,TR49491,C1885,UPI,South,1,20.21,2025-05-12 00:40:36
grocery,TR30917,C9201,UPI,Jere,1,20.46,2025-07-04 21:15:45
grocery,TR05480,C1808,UPI,Cassinburghdm,1,20.14,2025-03-06 05:38:17
grocery,TR67519,C7073,UPI,Newu,1,21.47,2025-02-27 22:34:55
entertainment,TR19380,C5080,UPI,Harve,1,20.85,2025-05-05 18:42:11
grocery,TR10887,C3606,UPI,Samantham,1,21.78,2025-07-31 22:14:03
grocery,TR40210,C7046,UPI,Dontefurtzwrl,1,21.16,2025-07-09 20:36:21
electronics,TR99170,C1035,UPI,Eastmez,1,20.69,2025-06-03 16:17:41
clothing,TR62083,C2009,UPI,Eastcdo,1,21.43,2025-07-15 07:41:17
entertainment,TR58114,C9079,UPI,Lakeyt,1,21.05,2025-07-28 15:32:51
entertainment,TR10217,C8703,UPI,Margaretteber,1,20.48,2025-03-29 14:59:09
grocery,TR67264,C0015,UPI,Fermin,1,21.79,2025-06-08 22:58:14
entertainment,TR64646,C1400,UPI,Sout,1,20.52,2025-04-08 14:07:45
clothing,TR09332,C9006,UPI,Nort,1,20.92,2025-06-17 20:17:34
clothing,TR07132,C2521,UPI,Eastvmaryjane,1,21.2,2025-05-03 04:57:49
grocery,TR44898,C5000,UPI,Lakernapoleon,1,21.47,2025-03-23 20:29:40
entertainment,TR27367,C7780,UPI,Northeder,1,21.78,2025-07-25 13:04:35
clothing,TR90644,C1300,UPI,Ryanst,1,21.06,2025-03-01 22:13:11
clothing,TR09903,C7000,UPI,Wizab,1,20.91,2025-05-21 10:12:19
clothing,TR12304,C0000,UPI,Newk,1,21.47,2025-03-22 16:04:54
entertainment,TR25197,C2053,UPI,Northanickola,1,20.78,2025-03-13 06:00:14
grocery,TR29313,C5823,UPI,Wald,1,21.15,2025-08-02 14:30:55
clothing,TR26973,C3170,UPI,Westu,1,20.91,2025-04-04 13:50:06
clothing,TR34388,C0670,UPI,Maris,1,20.64,2025-06-30 11:17:54
entertainment,TR64224,C8008,UPI,Lake,1,21.57,2025-06-01 07:57:56
entertainment,TR35703,C7305,UPI,Cordieber,1,20.58,2025-07-12 02:31:39
clothing,TR23536,C9130,UPI,Westpnola,1,20.81,2025-06-17 14:24:18
electronics,TR36984,C9006,UPI,Theodoretondd,1,21.72,2025-05-23 15:39:15
grocery,TR04569,C7170,UPI,Virginach,1,21.49,2025-06-12 18:00:54
grocery,TR52230,C3002,UPI,West,1,20.48,2025-03-04 03:21:51
entertainment,TR15498,C0430,UPI,Herzogf,1,21.47,2025-08-16 07:30:52
entertainment,TR94540,C9900,UPI,Eastutatianav,1,21.08,2025-05-24 12:35:47
electronics,TR02340,C5443,UPI,Predovi,1,20.99,2025-04-07 09:07:03
grocery,TR10522,C7047,UPI,Jacobimouthkc,1,21.68,2025-05-21 12:28:35
grocery,TR31406,C0400,UPI,Westzjo,1,21.69,2025-05-07 12:38:53
clothing,TR47370,C9868,UPI,Lake,1,21.45,2025-08-20 18:28:07
electronics,TR69539,C7050,UPI,Southsgla,1,21.65,2025-05-17 11:40:39
clothing,TR28508,C4501,UPI,Jone,1,20.82,2025-06-12 14:49:22
entertainment,TR77822,C4470,UPI,Porticart,1,21.78,2025-06-06 13:18:17
grocery,TR32847,C9004,UPI,Northj,1,21.86,2025-05-21 11:16:10
electronics,TR60211,C3030,UPI,East,1,20.97,2025-07-02 16:33:54
clothing,TR85159,C0000,UPI,Northd,1,21.47,2025-04-28 16:37:04
clothing,TR19475,C3606,UPI,Northqtianabo,1,21.35,2025-05-07 00:31:18
clothing,TR42892,C2780,UPI,Effer,1,20.72,2025-06-21 20:25:26
electronics,TR25672,C2060,UPI,Newpbry,1,21.13,2025-03-11 01:16:35
entertainment,TR24014,C4500,UPI,South,1,20.76,2025-02-27 15:12:33
electronics,TR25566,C9078,UPI,North,1,21.24,2025-06-02 03:28:02
clothing,TR75379,C9000,UPI,Portdmarissaa,1,20.78,2025-06-16 16:31:59
clothing,TR97606,C3974,UPI,Northsmon,1,20.76,2025-05-12 12:51:05
electronics,TR76959,C2861,UPI,Ermelinda,1,21.22,2025-06-04 07:54:35
entertainment,TR34242,C7004,UPI,Southeb,1,21.37,2025-08-07 14:57:12
clothing,TR51149,C5082,UPI,Newamo,1,20.5,2025-07-19 11:42:00
clothing,TR69287,C7900,UPI,Lakeh,1,21.49,2025-04-19 04:39:46
grocery,TR23995,C5100,UPI,East,1,20.81,2025-04-05 14:47:02
clothing,TR81661,C0000,UPI,East,1,20.98,2025-08-17 15:55:13
electronics,TR37060,C0007,UPI,Ohkeefebergyy,1,21.09,2025-08-10 09:43:36
clothing,TR48065,C1342,UPI,Lakedlonb,1,21.54,2025-03-02 05:11:38
clothing,TR41313,C0930,UPI,Kurtfor,1,21.31,2025-04-19 12:21:59
entertainment,TR58521,C0202,UPI,Northw,1,20.56,2025-03-16 22:36:26
clothing,TR51864,C6070,UPI,Northhs,1,20.79,2025-03-24 09:33:02
entertainment,TR40480,C6830,UPI,Mali,1,21.06,2025-06-01 22:33:26
grocery,TR36337,C6591,UPI,Northnerv,1,20.53,2025-07-07 15:33:08
grocery,TR37402,C0088,UPI,Hayesboroughn,1,21.74,2025-03-25 23:47:00
grocery,TR18804,C1000,UPI,Wolf,1,20.78,2025-04-24 13:39:39
clothing,TR41895,C5003,UPI,Kuph,1,20.94,2025-07-06 13:02:08
electronics,TR19890,C7020,UPI,Alyce,1,20.59,2025-03-26 05:31:16
entertainment,TR56587,C6008,UPI,Mcculloughsta,1,21.58,2025-05-24 18:25:18
electronics,TR19553,C8060,UPI,Larsonm,1,21.26,2025-05-29 16:38:13
clothing,TR68870,C3060,UPI,Bashirianberg,1,21.68,2025-03-13 10:21:50
entertainment,TR48128,C8000,UPI,Northmcaseyst,1,21.48,2025-05-27 01:56:36
electronics,TR03895,C1000,UPI,Langwo,1,21.35,2025-04-21 18:23:55
electronics,TR03418,C9058,UPI,Harland,1,21.34,2025-07-25 19:34:46
grocery,TR01311,C7001,UPI,Luettg,1,20.92,2025-05-30 10:55:25
entertainment,TR94859,C9000,UPI,Antoneche,1,21.58,2025-03-14 09:09:51
electronics,TR42842,C3102,UPI,Mccl,1,20.47,2025-03-16 07:26:46
entertainment,TR44646,C3740,UPI,Newnf,1,20.79,2025-05-28 11:07:56
grocery,TR79773,C7000,UPI,East,1,21.5,2025-05-18 00:16:10
grocery,TR02104,C7800,UPI,Thom,1,21.38,2025-03-22 00:08:56
grocery,TR62183,C5775,UPI,Lake,1,21.86,2025-05-19 11:01:24
electronics,TR56921,C9808,UPI,Gerryvi,1,21.6,2025-02-26 12:00:09
electronics,TR35638,C3031,UPI,Armandost,1,21.6,2025-04-06 14:59:43
grocery,TR60985,C5760,UPI,Nort,1,20.67,2025-08-16 01:18:14
entertainment,TR23604,C1303,UPI,Weberland,1,21.59,2025-08-05 15:22:02
entertainment,TR34780,C6003,UPI,Southsdesirae,1,20.54,2025-08-18 05:42:55
grocery,TR37776,C1100,UPI,Lakesma,1,20.51,2025-08-10 03:58:47
grocery,TR72307,C3007,UPI,Jaylandem,1,21.88,2025-08-19 22:52:58
electronics,TR15750,C3014,UPI,Westdc,1,21.62,2025-03-03 02:59:31
grocery,TR80773,C0490,UPI,Lakedra,1,21.41,2025-04-12 23:07:48
entertainment,TR53635,C6027,UPI,Newqfr,1,21.56,2025-05-06 12:30:47
electronics,TR37102,C2400,UPI,Kassulkes,1,20.86,2025-04-13 22:26:18
electronics,TR93348,C7000,UPI,Jctonk,1,20.66,2025-08-14 19:10:56
entertainment,TR81807,C9604,UPI,Gerardo,1,21.46,2025-03-27 02:11:38
grocery,TR30465,C8200,UPI,Davisch,1,20.77,2025-08-05 05:43:43
grocery,TR10248,C0500,UPI,Northlnic,1,20.7,2025-06-27 19:28:20
grocery,TR76283,C5929,UPI,Newv,1,21.29,2025-04-05 14:35:37
electronics,TR32256,C8002,UPI,Dick,1,20.53,2025-08-01 07:10:12
clothing,TR97199,C8002,UPI,East,1,21.38,2025-06-09 12:39:30
clothing,TR07018,C6000,UPI,Eastk,1,20.89,2025-08-04 18:42:39
entertainment,TR49375,C6005,UPI,Konopelsk,1,20.88,2025-04-30 05:39:41
grocery,TR53524,C9075,UPI,Northoalwywef,1,21.13,2025-04-03 15:50:16
grocery,TR73623,C8060,UPI,Bergebe,1,21.43,2025-03-15 20:55:05
grocery,TR58698,C4120,UPI,Haroldborough,1,20.88,2025-05-30 03:38:37
electronics,TR09796,C0089,UPI,Easthcarolche,1,21.21,2025-06-11 11:31:17
grocery,TR36857,C6253,UPI,Lakecj,1,21.62,2025-03-22 09:54:20
electronics,TR70404,C8100,UPI,Newz,1,21.14,2025-05-23 19:36:17
grocery,TR68773,C0030,UPI,Southn,1,20.99,2025-05-01 11:55:20
clothing,TR49381,C1000,UPI,Anton,1,21.32,2025-04-09 09:36:24
clothing,TR76734,C4000,UPI,Porti,1,20.86,2025-04-11 09:07:25
grocery,TR14201,C5003,UPI,Northdh,1,21.44,2025-05-05 05:57:40
entertainment,TR48921,C7000,UPI,Rich,1,21.79,2025-04-14 08:51:55
grocery,TR47655,C2088,UPI,Annett,1,20.52,2025-03-11 07:12:02
grocery,TR80217,C3009,UPI,Northo,1,21.5,2025-07-28 01:57:21
clothing,TR22849,C7000,UPI,Porteli,1,21.02,2025-08-02 04:04:30
entertainment,TR85672,C1607,UPI,Newn,1,21.61,2025-04-02 00:53:27
electronics,TR62698,C1010,UPI,Northwmel,1,20.97,2025-07-01 13:37:33
entertainment,TR43463,C6068,UPI,Hilllt,1,21.4,2025-04-07 07:04:19
entertainment,TR79155,C4950,UPI,Westpaure,1,20.82,2025-03-01 10:51:45
grocery,TR64957,C0000,UPI,Southf,1,21.66,2025-05-12 05:13:48
electronics,TR56726,C6000,UPI,Northucarlynv,1,21.12,2025-04-06 19:20:36
grocery,TR50821,C4009,UPI,Nolans,1,20.91,2025-08-05 02:28:27
electronics,TR52559,C3001,UPI,Bett,1,21.66,2025-08-05 06:08:58
grocery,TR24198,C7108,UPI,Northu,1,21.72,2025-08-04 10:11:05
clothing,TR40269,C6608,UPI,Altenwe,1,21.29,2025-03-25 05:07:44
grocery,TR44546,C7000,UPI,Newqterranceo,1,21.45,2025-05-07 07:09:30
grocery,TR50729,C1035,UPI,Libradastadum,1,20.46,2025-06-28 04:23:46
entertainment,TR61051,C9255,UPI,Northskel,1,21.62,2025-04-12 01:40:07
grocery,TR43981,C3300,UPI,Lakemterriebe,1,21.75,2025-08-13 23:00:09
electronics,TR65057,C5110,UPI,Yundt,1,21.33,2025-06-12 10:11:53
clothing,TR33462,C2000,UPI,Harbe,1,21.69,2025-05-20 05:55:51
clothing,TR76247,C1706,UPI,West,1,20.98,2025-06-21 23:19:21
electronics,TR75701,C6510,UPI,Lakeas,1,20.94,2025-03-09 08:25:59
entertainment,TR75515,C1080,UPI,Norber,1,21.44,2025-05-23 23:01:16
electronics,TR42302,C6620,UPI,Portf,1,21.02,2025-08-02 16:56:05
clothing,TR26949,C5008,UPI,Hipolitos,1,21.15,2025-08-11 01:05:16
clothing,TR14037,C6113,UPI,Fost,1,21.07,2025-06-03 22:39:30
clothing,TR81033,C0242,UPI,Hagenes,1,21.75,2025-07-25 20:59:48
electronics,TR39739,C4070,UPI,Newqjo,1,20.85,2025-03-31 07:18:38
entertainment,TR60184,C6084,UPI,Portydarr,1,21.39,2025-07-13 15:23:53
grocery,TR58492,C8602,UPI,Magg,1,24.49,2025-02-23 16:30:31
grocery,TR03203,C8660,UPI,Alejandri,1,23.04,2025-05-05 08:19:32
entertainment,TR54520,C1205,UPI,Lakevolivejgy,1,23.35,2025-05-12 02:37:14
entertainment,TR99175,C9880,UPI,Norths,1,22.11,2025-03-22 20:40:15
grocery,TR52142,C6402,UPI,Blair,1,22.55,2025-07-17 21:34:00
electronics,TR25187,C9340,UPI,Leonshi,1,21.94,2025-08-08 02:38:00
entertainment,TR07787,C7305,UPI,Nort,1,23.86,2025-03-26 19:37:23
entertainment,TR36994,C1080,UPI,Stied,1,21.93,2025-03-09 22:09:24
clothing,TR02189,C1730,UPI,Gutm,1,23.52,2025-03-17 08:30:06
clothing,TR66374,C5100,UPI,Southko,1,23.38,2025-07-03 19:25:05
clothing,TR23013,C0707,UPI,Portgvo,1,22.5,2025-07-28 10:28:09
entertainment,TR93554,C5002,UPI,Sout,1,21.99,2025-06-30 22:10:38
clothing,TR96010,C2230,UPI,Allanport,1,22.02,2025-06-22 23:31:44
electronics,TR33662,C7250,UPI,Owenfur,1,24.22,2025-07-01 13:41:49
entertainment,TR56650,C8880,UPI,Lakeffermindm,1,22.58,2025-05-26 11:57:07
electronics,TR53971,C9016,UPI,Rachelf,1,23.49,2025-06-20 06:35:02
clothing,TR01068,C2090,UPI,West,1,23.18,2025-05-19 10:45:47
entertainment,TR61669,C6100,UPI,Northgjenelle,1,22.4,2025-08-21 13:01:28
clothing,TR33061,C9500,UPI,Vinc,1,22.45,2025-04-13 20:34:56
entertainment,TR91707,C7907,UPI,Hegm,1,22.72,2025-04-17 01:15:48
clothing,TR01356,C2024,UPI,Davi,1,23.05,2025-08-17 15:49:29
electronics,TR71830,C5000,UPI,Miyoko,1,23.14,2025-04-09 09:05:39
grocery,TR93646,C9107,UPI,Port,1,24.17,2025-04-13 13:26:35
grocery,TR97452,C0702,UPI,West,1,24.02,2025-06-23 13:59:18
electronics,TR87430,C8000,UPI,Cari,1,23.67,2025-04-01 15:15:22
entertainment,TR39206,C4000,UPI,Westwst,1,23.57,2025-06-01 17:18:56
clothing,TR86960,C4000,UPI,Gayl,1,22.19,2025-07-09 19:53:26
clothing,TR26971,C5760,UPI,Runteb,1,24.22,2025-07-27 17:06:57
grocery,TR46891,C0041,UPI,Portt,1,23.64,2025-06-03 20:47:11
electronics,TR51119,C9500,UPI,West,1,23.22,2025-07-06 05:00:56
grocery,TR15669,C2012,UPI,Cleveland,1,23.3,2025-05-19 09:38:58
clothing,TR01938,C4400,UPI,Townefo,1,23.42,2025-05-31 11:39:57
electronics,TR20487,C7300,UPI,Doylemo,1,22.24,2025-03-10 22:29:17
grocery,TR99709,C5000,UPI,Nort,1,23.34,2025-03-06 16:07:32
grocery,TR82767,C1000,UPI,Northearn,1,22.45,2025-04-12 17:50:57
entertainment,TR79653,C7065,UPI,Ofconnerviewh,1,24.02,2025-08-16 04:59:10
clothing,TR30081,C8000,UPI,Northvjohniey,1,23.99,2025-05-30 07:15:25
electronics,TR45142,C6000,UPI,Easthdewi,1,24.36,2025-06-18 16:46:39
clothing,TR08965,C0020,UPI,Purdyp,1,22.62,2025-07-18 00:35:31
grocery,TR62420,C3620,UPI,Timothyvilleo,1,24.44,2025-06-17 18:38:51
grocery,TR97809,C1600,UPI,Sydn,1,22.19,2025-08-06 18:50:05
clothing,TR34085,C2190,UPI,Eastys,1,23.03,2025-04-10 07:50:30
electronics,TR81608,C0160,UPI,Blandatownktm,1,22.91,2025-03-11 02:14:10
grocery,TR40780,C4900,UPI,Southao,1,22.64,2025-05-21 12:24:34
clothing,TR38413,C1200,UPI,Henryfurtmvpp,1,23.46,2025-03-13 09:02:53
entertainment,TR49651,C5000,UPI,Thad,1,23.96,2025-02-24 06:12:30
electronics,TR34169,C1069,UPI,Hayesm,1,23.4,2025-04-15 15:02:12
electronics,TR31586,C6070,UPI,Bode,1,24.48,2025-07-04 03:11:01
entertainment,TR18858,C8400,UPI,Carrollfortky,1,24.16,2025-03-20 17:55:48
grocery,TR86230,C1030,UPI,Portu,1,22.0,2025-04-20 17:00:57
entertainment,TR42515,C1000,UPI,Jacobipor,1,23.47,2025-05-22 22:07:38
electronics,TR45973,C3000,UPI,Omkee,1,24.46,2025-04-08 21:23:54
entertainment,TR17322,C6004,UPI,Easth,1,22.8,2025-07-02 03:34:44
clothing,TR66350,C2900,UPI,Jackiet,1,22.42,2025-08-08 14:57:31
clothing,TR78854,C4300,UPI,Lakedforr,1,22.4,2025-05-31 00:16:31
electronics,TR52646,C4800,UPI,Brittenymouth,1,24.12,2025-03-17 09:21:00
grocery,TR24068,C5009,UPI,North,1,23.11,2025-06-21 04:22:13
grocery,TR06395,C4304,UPI,Laverne,1,24.07,2025-06-20 16:59:24
entertainment,TR76042,C5000,UPI,Portuca,1,22.44,2025-05-31 10:41:20
grocery,TR66267,C3206,UPI,North,1,23.99,2025-06-05 21:16:41
electronics,TR77680,C0000,UPI,Oeha,1,22.14,2025-08-06 04:17:27
clothing,TR95974,C5100,UPI,Jask,1,23.04,2025-03-29 18:53:55
electronics,TR74448,C8700,UPI,Northy,1,22.49,2025-08-18 10:35:35
clothing,TR23808,C8050,UPI,Westxjere,1,24.07,2025-05-30 08:24:16
entertainment,TR39263,C7007,UPI,Jamiebo,1,23.94,2025-06-28 05:18:59
electronics,TR16526,C6000,UPI,Newc,1,22.44,2025-03-09 12:01:40
clothing,TR52082,C4007,UPI,Ankundi,1,22.11,2025-03-29 07:04:53
grocery,TR80434,C9240,UPI,Lutherburghpv,1,22.73,2025-03-10 14:20:36
clothing,TR58448,C9600,UPI,Littlelandxtj,1,22.24,2025-07-20 18:52:13
grocery,TR03859,C4087,UPI,Grime,1,22.4,2025-04-29 20:48:27
electronics,TR03114,C6007,UPI,Kuhicm,1,21.91,2025-05-23 17:30:09
grocery,TR00175,C1023,UPI,Nort,1,23.63,2025-05-22 18:44:05
entertainment,TR76027,C8200,UPI,Westnr,1,24.33,2025-05-14 01:01:11
clothing,TR94117,C4802,UPI,Faytownvn,1,24.25,2025-05-01 04:21:09
entertainment,TR68395,C6000,UPI,Portwru,1,23.52,2025-03-05 20:54:44
grocery,TR51655,C8020,UPI,Hegmannsideho,1,22.62,2025-05-04 21:26:44
electronics,TR53988,C1290,UPI,Northcjul,1,22.02,2025-04-22 02:59:47
electronics,TR14911,C3000,UPI,Fahe,1,24.18,2025-04-10 23:38:14
clothing,TR88953,C6470,UPI,Eastzmary,1,22.64,2025-03-14 05:02:02
entertainment,TR38830,C8850,UPI,Westvwill,1,22.34,2025-06-04 14:07:22
grocery,TR85600,C4250,UPI,Jermainep,1,24.47,2025-05-14 09:10:44
entertainment,TR09886,C1204,UPI,Alecshirecgjt,1,22.85,2025-07-09 20:37:24
clothing,TR86303,C1306,UPI,Lakejroyceyxs,1,23.63,2025-05-17 11:16:38
grocery,TR94730,C6000,UPI,Dachfurtl,1,22.97,2025-07-15 09:18:38
clothing,TR42197,C6500,UPI,Lakebd,1,22.79,2025-03-19 09:33:54
grocery,TR09964,C1060,UPI,Maggioviewjgl,1,23.1,2025-06-09 14:38:30
entertainment,TR65373,C4240,UPI,Westljosi,1,22.84,2025-08-17 10:18:41
entertainment,TR27367,C1137,UPI,Lehn,1,23.39,2025-04-19 08:55:16
clothing,TR12883,C1000,UPI,Tamarsh,1,22.87,2025-05-08 03:04:02
entertainment,TR04464,C2000,UPI,Port,1,24.41,2025-06-01 08:50:50
entertainment,TR65997,C6103,UPI,Lakelteddylan,1,22.85,2025-02-27 01:39:34
clothing,TR66011,C9080,UPI,West,1,22.74,2025-08-09 14:55:55
electronics,TR61642,C2014,UPI,Eastb,1,23.98,2025-06-22 10:28:19
clothing,TR86683,C5680,UPI,Westfross,1,22.86,2025-06-25 06:43:13
electronics,TR69196,C6405,UPI,Westk,1,22.49,2025-02-27 15:15:10
clothing,TR65750,C8087,UPI,Eastxci,1,23.97,2025-03-05 06:58:49
clothing,TR38864,C2700,UPI,Upto,1,23.88,2025-06-07 04:25:04
entertainment,TR54199,C4240,UPI,Lakevsh,1,23.73,2025-02-23 20:17:57
clothing,TR45447,C0979,UPI,Kacichesterzs,1,23.81,2025-03-09 09:03:46
entertainment,TR38767,C6010,UPI,Newkro,1,22.08,2025-03-20 10:29:14
grocery,TR17142,C4106,UPI,Howe,1,23.69,2025-03-27 08:31:12
clothing,TR94881,C9210,UPI,Bergna,1,23.45,2025-08-20 06:56:42
clothing,TR97183,C5903,UPI,Bali,1,24.41,2025-03-10 18:28:29
grocery,TR59625,C5030,UPI,Westr,1,23.7,2025-07-17 08:55:22
clothing,TR64434,C8100,UPI,Brek,1,22.03,2025-08-04 20:23:16
entertainment,TR51770,C4278,UPI,Armstro,1,23.04,2025-08-16 02:43:07
electronics,TR77577,C1600,UPI,Lakexl,1,23.34,2025-06-19 13:29:23
