id,from_account_id,to_account_id,amount,transaction_type,status,description,created_at,updated_at
100022,100022,100022,4064.03,credit,PENDING,"O Romeo, Romeo! wher",2001-04-30 12:48:52,2006-08-10 19:19:33
100023,100023,100023,6542.75,debit,PENDING,Neither a borrower n,2002-08-30 01:24:48,2016-04-20 23:23:49
100024,100024,100024,4601.72,refund,PENDING,Brevity is the soul ,2010-12-02 08:01:34,2025-07-12 13:16:28
100025,100025,100025,4926.80,credit,PENDING,Brevity is the soul ,2017-10-23 02:16:41,2004-11-24 02:50:19
100026,100026,100026,3015.48,refund,PENDING,Can one desire too m,2025-01-16 03:44:43,2021-08-22 02:06:06
100027,100027,100027,4330.67,credit,PENDING,"See, how she leans h",2020-05-21 06:07:21,2013-02-03 22:01:36
100028,100028,100028,7569.78,credit,PENDING,Conscience is but a ,2006-04-20 05:13:40,2009-07-15 18:11:58
100029,100029,100029,1927.85,debit,PENDING,What's in a name? Th,2016-12-18 23:18:18,2013-10-04 10:07:56
100030,100030,100030,9199.32,debit,PENDING,"See, how she leans h",2024-03-07 20:34:13,2013-01-16 08:32:18
100031,100031,100031,8991.21,debit,PENDING,O! she doth teach th,2007-04-25 19:59:58,2013-07-31 10:31:07
100032,100032,100032,3935.82,refund,PENDING,Neither a borrower n,2007-09-08 13:09:34,2023-07-10 11:11:04
100033,100033,100033,9347.61,refund,PENDING,I like this place an,2015-01-29 11:09:55,2019-03-31 16:46:04
100034,100034,100034,108.30,credit,PENDING,Now is the winter of,2013-02-07 14:18:30,2020-12-06 14:01:42
100035,100035,100035,5582.29,refund,PENDING,Not stepping o'er th,2001-01-15 11:30:54,2024-02-27 12:55:10
100036,100036,100036,8197.30,refund,PENDING,The lady doth protes,2012-12-27 09:40:24,2007-11-19 05:57:25
100037,100037,100037,4825.01,refund,PENDING,The king's name is a,2024-07-15 12:24:31,2002-07-03 19:43:41
100038,100038,100038,7629.31,debit,PENDING,"O Romeo, Romeo! wher",2004-11-02 03:06:47,2000-08-18 15:35:03
100039,100039,100039,5220.92,credit,PENDING,A little more than k,2013-06-18 16:53:28,2002-11-21 02:21:56
100040,100040,100040,5826.59,credit,PENDING,Do you think I am ea,2022-06-09 04:46:47,2014-09-09 16:50:24
100041,100041,100041,6468.78,debit,PENDING,The king's name is a,2022-09-05 21:30:06,2010-12-03 06:07:44
100042,100042,100042,7566.80,refund,PENDING,O! she doth teach th,2023-12-16 16:13:48,2020-10-18 15:10:42
100043,100043,100043,4331.22,credit,PENDING,Tempt not a desperat,2021-10-28 06:59:35,2021-12-12 02:32:27
100044,100044,100044,5809.50,debit,PENDING,This above all: to t,2003-06-08 20:47:02,2018-10-11 10:40:17
100045,100045,100045,7878.03,debit,PENDING,For ever and a day.,2016-07-01 06:22:13,2012-11-22 20:04:30
100046,100046,100046,7024.50,refund,PENDING,Wisely and slow; the,2018-07-15 11:48:39,2002-10-04 00:28:42
100047,100047,100047,2519.79,credit,PENDING,Wisely and slow; the,2015-05-09 14:50:11,2019-09-03 21:51:11
100048,100048,100048,3703.86,refund,PENDING,I like this place an,2006-06-11 21:15:06,2007-07-19 17:23:06
100049,100049,100049,1010.27,debit,PENDING,Rich gifts wax poor ,2025-05-01 22:38:27,2002-02-17 18:13:18
100050,100050,100050,4555.98,refund,incomplete,For ever and a day.,2022-12-03 08:42:46,2018-10-23 02:05:43
100051,100051,100051,5583.01,refund,complete,Wisely and slow; the,2019-02-12 03:58:21,2019-06-25 11:22:45
100052,100052,100052,3172.85,refund,complete,Tempt not a desperat,2013-02-03 16:39:36,2020-06-03 01:19:37
100053,100053,100053,4437.48,refund,complete,The world is grown s,2024-11-13 03:24:41,2007-03-04 22:14:56
100054,100054,100054,9443.21,refund,complete,"And it must follow, ",2008-02-20 09:14:24,2025-04-07 15:08:14
100055,100055,100055,4757.15,credit,incomplete,For ever and a day.,2012-03-13 08:55:46,2009-04-18 11:25:27
100056,100056,100056,4274.72,credit,incomplete,Off with his head!,2012-10-29 08:56:07,2015-09-24 21:34:48
100057,100057,100057,7334.72,refund,incomplete,I like this place an,2018-09-29 16:03:12,2021-10-19 04:57:59
100058,100058,100058,8311.44,credit,incomplete,An honest tale speed,2009-08-04 02:51:18,2008-12-19 00:59:03
100059,100059,100059,7365.22,debit,complete,All the world 's a s,2021-10-12 17:32:15,2005-01-18 05:57:28
100060,100060,100060,4222.12,refund,complete,Can one desire too m,2021-12-22 18:20:49,2008-07-11 12:03:09
100061,100061,100061,4868.22,refund,incomplete,Not stepping o'er th,2015-08-15 13:58:23,2013-01-23 21:44:56
100062,100062,100062,1126.76,debit,complete,True is it that we h,2006-11-09 09:40:49,2019-01-24 12:15:13
100063,100063,100063,1993.26,refund,complete,For you and I are pa,2010-03-29 11:50:36,2012-07-30 16:07:47
100064,100064,100064,9068.24,debit,complete,What a piece of work,2011-11-01 15:42:17,2022-10-23 06:19:08
100065,100065,100065,3784.38,refund,complete,What's in a name? Th,2010-03-14 22:31:49,2022-12-21 12:22:30
100066,100066,100066,2772.70,refund,incomplete,A horse! a horse! my,2006-07-31 19:02:19,2018-06-06 04:31:13
100067,100067,100067,2119.70,refund,complete,Rich gifts wax poor ,2023-09-20 11:37:54,2024-06-16 05:23:44
100068,100068,100068,2833.94,credit,incomplete,There is nothing eit,2015-07-01 03:15:01,2025-03-31 07:43:56
100069,100069,100069,7948.54,debit,complete,Can one desire too m,2009-02-04 02:24:40,2021-06-16 05:52:12
100070,100070,100070,865.49,credit,incomplete,Can one desire too m,2004-09-05 09:02:47,2014-04-29 02:03:52
100071,100071,100071,5724.95,refund,incomplete,For ever and a day.,2012-01-05 12:23:59,2006-05-05 23:47:36
100072,100072,100072,3958.79,refund,complete,Can one desire too m,2021-08-14 18:06:59,2015-09-10 00:42:45
100073,100073,100073,2342.23,refund,complete,The world is grown s,2017-12-25 23:43:30,2005-04-26 16:56:45
100074,100074,100074,5242.92,refund,incomplete,Can one desire too m,2021-05-20 00:32:49,2009-01-16 17:34:19
100075,100075,100075,4824.42,debit,complete,A horse! a horse! my,2018-07-23 06:47:52,2003-02-15 01:49:23
100076,100076,100076,7640.92,debit,incomplete,The play 's the thin,2004-10-04 20:52:38,2022-08-03 09:10:22
100077,100077,100077,599.73,refund,complete,O! she doth teach th,2003-01-06 21:27:47,2018-08-11 03:23:58
100078,100078,100078,9649.38,credit,complete,The king's name is a,2015-01-24 17:57:00,2016-10-26 13:31:17
100079,100079,100079,8096.63,debit,complete,How bitter a thing i,2001-11-02 21:00:55,2015-09-24 19:49:27
100080,100080,100080,6624.51,credit,complete,Not stepping o'er th,2010-01-21 02:21:06,2018-10-21 10:11:47
100081,100081,100081,5549.42,refund,incomplete,A horse! a horse! my,2018-09-09 09:04:46,2021-01-18 02:42:36
100082,100082,100082,1540.43,refund,complete,"And it must follow, ",2005-05-14 13:25:28,2008-03-29 11:38:45
100083,100083,100083,1819.12,debit,complete,All the world 's a s,2023-05-11 14:11:32,2023-10-03 17:11:27
100084,100084,100084,2300.51,refund,complete,"O Romeo, Romeo! wher",2014-07-18 06:13:08,2012-06-05 23:49:59
100085,100085,100085,4423.13,refund,complete,O! she doth teach th,2025-06-03 08:23:47,2023-02-17 20:28:40
100086,100086,100086,1642.76,credit,complete,It seems she hangs u,2006-12-22 12:04:15,2023-05-08 18:49:33
100087,100087,100087,9178.40,debit,complete,Wisely and slow; the,2002-03-23 18:39:45,2002-09-28 03:21:07
100088,100088,100088,2605.13,refund,incomplete,The king's name is a,2005-12-18 18:44:26,2017-07-25 16:19:42
100089,100089,100089,405.83,refund,incomplete,The play 's the thin,2017-06-15 02:08:29,2007-03-01 17:42:59
100090,100090,100090,931.16,debit,complete,A little more than k,2011-03-29 04:09:11,2014-10-16 07:22:18
100091,100091,100091,5686.21,refund,complete,Wisely and slow; the,2012-09-17 20:43:01,2019-05-31 04:51:29
100092,100092,100092,3132.67,refund,complete,What a piece of work,2021-09-01 21:25:43,2007-10-28 06:53:36
100093,100093,100093,20.85,credit,incomplete,Wisely and slow; the,2002-12-10 07:14:00,2001-10-22 01:47:33
100094,100094,100094,9021.71,credit,incomplete,What's in a name? Th,2008-11-26 10:14:13,2024-05-02 21:06:20
100095,100095,100095,8912.70,debit,incomplete,It seems she hangs u,2020-02-08 09:50:57,2024-12-05 21:34:16
100096,100096,100096,3122.93,refund,complete,"So wise so young, th",2010-02-18 11:12:42,2019-01-14 04:31:42
100097,100097,100097,1480.20,refund,incomplete,The world is grown s,2004-08-08 06:15:47,2016-09-08 13:46:26
100098,100098,100098,4630.95,refund,complete,"It is the east, and ",2016-02-11 04:22:09,2021-12-07 01:46:45
100099,100099,100099,4038.55,refund,complete,What's in a name? Th,2007-08-03 09:02:15,2013-09-30 07:31:45
100100,100100,100100,8540.36,refund,incomplete,"Good Night, Good nig",2016-05-07 10:27:23,2024-09-03 18:47:24
100101,100101,100101,2576.93,refund,incomplete,Can one desire too m,2004-11-02 20:47:54,2005-01-11 06:06:31
100102,100102,100102,5713.61,refund,incomplete,I like this place an,2007-03-20 09:37:37,2015-12-07 23:05:51
100103,100103,100103,2831.05,debit,incomplete,"O Romeo, Romeo! wher",2004-12-21 03:08:11,2014-04-13 16:53:40
100104,100104,100104,331.26,credit,incomplete,Off with his head!,2004-06-06 13:11:44,2010-05-30 12:39:19
100105,100105,100105,7956.41,credit,incomplete,That it should come ,2017-08-29 03:10:11,2023-07-22 12:05:53
100106,100106,100106,4166.97,debit,incomplete,"It is the east, and ",2001-08-20 04:29:21,2005-06-23 14:30:34
100107,100107,100107,2565.64,credit,complete,All the world 's a s,2011-10-05 01:44:17,2003-05-13 08:03:14
100108,100108,100108,7126.86,refund,complete,"Good Night, Good nig",2017-08-28 02:39:11,2011-10-13 10:15:51
100109,100109,100109,4675.38,debit,complete,A horse! a horse! my,2001-01-15 13:05:13,2003-02-28 06:54:47
100110,100110,100110,7577.63,debit,complete,It seems she hangs u,2004-07-04 14:40:35,2006-08-27 22:05:24
100111,100111,100111,3142.61,credit,complete,An honest tale speed,2024-06-06 07:33:19,2010-12-19 10:43:35
100112,100112,100112,8154.31,debit,incomplete,The fool doth think ,2021-12-01 05:26:01,2015-07-16 15:28:28
100113,100113,100113,1842.53,credit,complete,Now is the winter of,2023-07-01 16:25:48,2022-12-18 10:26:43
100114,100114,100114,8387.13,debit,incomplete,For ever and a day.,2004-09-30 06:34:58,2016-01-03 18:46:03
100115,100115,100115,5189.84,refund,incomplete,Conscience is but a ,2017-07-04 00:49:48,2008-08-19 09:00:44
100116,100116,100116,3924.20,refund,complete,What a piece of work,2018-11-15 12:59:55,2010-03-13 19:22:05
100117,100117,100117,4831.81,credit,complete,Off with his head!,2013-12-07 15:33:46,2011-08-16 03:17:55
100118,100118,100118,9065.38,refund,incomplete,The lady doth protes,2023-10-19 05:42:46,2009-06-24 09:28:05
100119,100119,100119,9295.91,debit,incomplete,Do you think I am ea,2012-05-03 13:10:12,2003-04-17 16:06:53
100120,100120,100120,9382.52,refund,incomplete,"Blow, blow, thou win",2015-10-29 21:00:28,2009-11-21 01:36:02
100121,100121,100121,7069.04,credit,incomplete,It seems she hangs u,2009-12-14 02:56:00,2007-10-05 08:22:48
100122,100122,100122,406.67,credit,incomplete,True is it that we h,2001-03-28 03:05:25,2012-06-21 19:34:31
100123,100123,100123,6684.02,credit,complete,It seems she hangs u,2008-07-10 17:13:23,2022-02-19 11:55:41
100124,100124,100124,6646.44,refund,complete,Off with his head!,2019-02-03 19:41:50,2018-11-05 05:35:31
100125,100125,100125,2715.04,credit,complete,The world is grown s,2021-01-09 16:58:52,2007-07-23 22:48:37
100126,100126,100126,8900.64,debit,complete,"So wise so young, th",2011-09-22 01:28:16,2019-11-08 14:45:24
100127,100127,100127,4615.42,debit,incomplete,Can one desire too m,2022-11-29 05:18:09,2010-03-05 13:07:31
100128,100128,100128,2187.44,debit,complete,"So wise so young, th",2022-04-29 01:37:22,2010-06-14 17:17:06
100129,100129,100129,1703.03,debit,complete,An honest tale speed,2001-08-13 11:25:23,2007-11-16 20:46:11
100130,100130,100130,8280.92,credit,complete,"So wise so young, th",2015-12-31 03:55:39,2012-04-15 00:04:34
100131,100131,100131,5602.48,debit,complete,Now is the winter of,2015-01-27 17:59:02,2004-10-07 05:38:12
100132,100132,100132,6382.18,debit,complete,"Blow, blow, thou win",2005-01-10 13:22:46,2021-09-10 19:51:36
100133,100133,100133,4535.40,credit,complete,A horse! a horse! my,2017-01-30 10:33:03,2006-09-16 09:04:49
100134,100134,100134,9817.45,debit,complete,The lady doth protes,2011-04-29 19:20:57,2017-08-20 16:56:44
100135,100135,100135,8114.59,debit,incomplete,What a piece of work,2007-10-13 21:02:18,2022-08-20 01:04:43
100136,100136,100136,1720.27,refund,incomplete,True is it that we h,2014-02-27 01:37:06,2022-12-25 23:17:19
100137,100137,100137,8004.72,credit,incomplete,Wisely and slow; the,2012-01-11 23:44:49,2018-01-06 11:13:05
100138,100138,100138,5693.32,debit,complete,"And it must follow, ",2003-06-23 20:04:54,2011-10-13 15:19:56
100139,100139,100139,7876.46,debit,incomplete,"Good Night, Good nig",2017-12-21 22:19:14,2000-07-31 19:59:59
100140,100140,100140,9640.15,refund,incomplete,"Good Night, Good nig",2015-07-07 04:59:41,2006-08-31 14:29:15
100141,100141,100141,4576.14,credit,incomplete,The fool doth think ,2018-06-18 08:15:56,2015-12-20 12:39:04
100142,100142,100142,9895.37,refund,complete,It seems she hangs u,2024-05-22 21:56:09,2022-05-05 23:15:49
100143,100143,100143,3086.73,credit,incomplete,A horse! a horse! my,2007-11-13 13:25:31,2015-07-17 21:13:53
100144,100144,100144,4958.06,credit,complete,Conscience is but a ,2011-02-26 01:16:15,2019-05-09 15:31:20
100145,100145,100145,7552.97,debit,complete,Can one desire too m,2024-05-30 16:48:09,2020-12-20 01:26:02
100146,100146,100146,1447.79,credit,complete,For you and I are pa,2002-11-03 18:46:38,2012-07-25 04:23:59
100147,100147,100147,3925.82,debit,complete,For you and I are pa,2007-11-30 04:10:17,2011-01-22 12:59:17
100148,100148,100148,1162.02,debit,complete,Do you think I am ea,2013-10-20 00:15:08,2007-05-08 01:10:47
100149,100149,100149,1344.69,credit,complete,"O Romeo, Romeo! wher",2008-06-28 15:59:04,2000-11-07 12:20:17
100150,100150,100150,5531.15,refund,complete,Tempt not a desperat,2020-06-22 19:47:06,2017-02-26 15:04:53
100151,100151,100151,6575.49,debit,complete,"O Romeo, Romeo! wher",2001-07-08 17:14:09,2022-01-22 21:25:53
100152,100152,100152,9461.65,credit,complete,In my mind's eye.,2016-06-08 02:20:21,2008-08-22 11:40:14
100153,100153,100153,1166.32,credit,complete,True is it that we h,2004-11-27 11:26:46,2015-06-26 21:32:12
100154,100154,100154,9054.44,debit,complete,"Blow, blow, thou win",2005-10-29 18:52:44,2003-03-27 04:04:01
100155,100155,100155,4638.66,credit,complete,This above all: to t,2022-12-13 06:20:45,2018-08-24 17:36:52
100156,100156,100156,9416.48,credit,incomplete,It seems she hangs u,2006-08-15 12:00:19,2016-10-12 20:31:13
100157,100157,100157,9320.16,refund,incomplete,I like this place an,2012-01-05 03:38:23,2001-02-05 18:48:42
100158,100158,100158,8585.80,refund,incomplete,The play 's the thin,2020-10-12 06:39:45,2019-10-21 01:02:34
100159,100159,100159,6326.39,refund,complete,"So wise so young, th",2020-10-08 17:03:11,2023-02-13 21:16:22
100160,100160,100160,9209.40,debit,complete,A horse! a horse! my,2025-07-16 18:46:35,2001-06-28 09:48:54
100161,100161,100161,5846.14,refund,incomplete,Can one desire too m,2016-08-27 09:34:34,2004-11-10 17:22:46
100162,100162,100162,197.79,refund,incomplete,"It is the east, and ",2014-11-30 20:05:41,2004-08-27 01:46:18
100163,100163,100163,4070.19,refund,complete,For you and I are pa,2023-12-18 13:33:37,2016-10-10 05:17:53
100164,100164,100164,9188.68,refund,complete,The play 's the thin,2005-01-29 17:10:17,2016-09-05 20:18:44
100165,100165,100165,9773.72,credit,incomplete,Now is the winter of,2020-05-05 08:11:49,2002-08-13 13:49:59
100166,100166,100166,2746.16,debit,complete,Tempt not a desperat,2013-01-28 21:33:52,2014-04-11 14:21:33
100167,100167,100167,4321.01,credit,complete,Now is the winter of,2017-03-28 22:11:13,2008-08-29 05:50:26
100168,100168,100168,3170.87,credit,incomplete,The fool doth think ,2007-03-29 17:18:26,2004-01-12 08:44:02
100169,100169,100169,3468.44,refund,complete,Off with his head!,2003-12-25 22:00:12,2014-04-29 22:25:25
100170,100170,100170,8376.39,refund,incomplete,Do you think I am ea,2017-06-06 21:03:16,2025-07-10 19:36:09
100171,100171,100171,9212.60,credit,incomplete,The world is grown s,2018-01-09 23:17:39,2012-06-09 14:24:20
100172,100172,100172,8179.05,debit,complete,Tempt not a desperat,2023-12-25 18:39:55,2010-11-08 20:27:21
100173,100173,100173,6638.46,refund,incomplete,How bitter a thing i,2018-10-01 06:58:40,2020-05-01 03:14:34
100174,100174,100174,6639.97,refund,complete,"Blow, blow, thou win",2025-07-12 12:22:58,2019-08-01 09:35:47
100175,100175,100175,8495.32,debit,complete,This above all: to t,2023-03-18 17:27:15,2024-01-14 18:11:09
100176,100176,100176,4784.29,credit,complete,Now is the winter of,2019-09-05 15:52:15,2018-09-23 15:07:51
100177,100177,100177,8450.86,debit,complete,Can one desire too m,2006-09-04 20:55:50,2002-10-20 01:16:59
100178,100178,100178,1503.16,credit,complete,Do you think I am ea,2007-02-24 05:42:49,2006-06-09 09:39:28
100179,100179,100179,9687.31,refund,incomplete,The king's name is a,2013-03-04 12:50:13,2006-04-09 01:37:36
100180,100180,100180,7025.60,debit,incomplete,What a piece of work,2003-11-06 14:12:00,2006-03-31 14:32:27
100181,100181,100181,5905.24,refund,incomplete,The world is grown s,2016-12-11 17:14:33,2009-06-15 06:03:14
100182,100182,100182,3743.56,debit,incomplete,It seems she hangs u,2004-12-09 15:11:59,2004-08-22 06:34:27
100183,100183,100183,6743.87,refund,incomplete,True is it that we h,2019-08-30 20:21:40,2005-09-16 15:48:11
100184,100184,100184,3002.16,refund,complete,That it should come ,2004-03-08 13:58:35,2018-01-13 20:36:31
100185,100185,100185,4121.48,refund,incomplete,True is it that we h,2011-03-30 15:10:41,2005-12-13 23:49:26
100186,100186,100186,4755.22,refund,complete,Doubt that the sun d,2007-07-31 03:41:59,2010-05-02 05:28:22
100187,100187,100187,2711.40,credit,complete,Now is the winter of,2005-12-06 07:51:54,2015-04-27 08:22:46
100188,100188,100188,4663.71,refund,complete,All the world 's a s,2013-03-09 14:33:54,2019-08-06 11:36:11
100189,100189,100189,9521.05,debit,incomplete,For you and I are pa,2011-03-15 22:09:20,2021-11-30 23:55:02
100190,100190,100190,1621.23,credit,complete,Conscience is but a ,2020-01-26 15:46:14,2006-11-30 21:48:55
100191,100191,100191,9811.26,credit,incomplete,Wisely and slow; the,2007-07-20 22:47:20,2009-10-23 12:28:41
100192,100192,100192,8068.81,debit,incomplete,All the world 's a s,2015-11-01 08:00:07,2010-10-18 11:22:33
100193,100193,100193,15.96,refund,incomplete,I like this place an,2010-07-07 01:47:25,2001-05-15 21:40:39
100194,100194,100194,7462.52,refund,complete,Not stepping o'er th,2022-08-03 11:21:49,2007-11-28 06:41:47
100195,100195,100195,1189.54,refund,complete,The fool doth think ,2007-03-08 04:08:00,2022-07-13 06:50:32
100196,100196,100196,3437.54,credit,incomplete,How bitter a thing i,2023-05-23 21:43:50,2005-12-29 06:21:39
100197,100197,100197,7266.59,debit,incomplete,A little more than k,2023-03-25 05:00:13,2001-12-17 14:08:08
100198,100198,100198,5535.32,debit,incomplete,Not stepping o'er th,2010-08-20 17:28:45,2013-07-06 00:31:30
100199,100199,100199,2172.47,credit,complete,The king's name is a,2022-11-24 15:29:26,2011-03-23 15:05:26
100200,100200,100200,7694.15,debit,complete,Conscience is but a ,2019-10-17 19:17:14,2011-01-22 08:11:06
100201,100201,100201,4829.63,debit,incomplete,It seems she hangs u,2003-07-04 11:23:51,2003-01-07 19:45:55
100202,100202,100202,324.16,refund,complete,I like this place an,2014-12-04 04:28:17,2015-04-30 19:42:16
100203,100203,100203,5283.15,debit,complete,Though this be madne,2022-11-03 23:26:28,2001-07-02 15:39:38
100204,100204,100204,877.07,debit,incomplete,Now is the winter of,2012-07-19 20:25:00,2020-06-21 18:28:09
100205,100205,100205,2589.43,debit,complete,In my mind's eye.,2022-02-20 20:29:21,2020-08-09 02:35:01
100206,100206,100206,3966.11,credit,complete,What a piece of work,2024-10-07 16:54:48,2004-08-07 04:10:13
100207,100207,100207,2503.73,debit,complete,"So wise so young, th",2023-11-03 02:36:41,2019-09-15 11:21:24
100208,100208,100208,1787.53,credit,incomplete,I like this place an,2017-04-02 08:06:24,2019-04-24 16:37:21
100209,100209,100209,2250.93,credit,complete,I like this place an,2009-04-08 16:51:44,2009-01-12 09:40:48
100210,100210,100210,1741.58,refund,incomplete,The lady doth protes,2009-08-21 06:57:17,2012-04-12 12:00:34
100211,100211,100211,308.32,refund,incomplete,The king's name is a,2017-11-14 09:20:25,2000-09-02 10:43:00
100212,100212,100212,7554.88,refund,complete,"O Romeo, Romeo! wher",2022-05-26 23:31:15,2004-02-24 20:47:28
100213,100213,100213,869.51,debit,incomplete,All the world 's a s,2025-06-03 04:12:30,2011-08-23 23:13:00
100214,100214,100214,6080.50,refund,incomplete,Though this be madne,2001-09-25 19:39:47,2008-01-17 00:48:59
100215,100215,100215,7845.32,credit,incomplete,How bitter a thing i,2007-07-24 21:35:17,2002-02-03 09:58:55
100216,100216,100216,6415.90,credit,incomplete,"O Romeo, Romeo! wher",2000-08-02 00:06:37,2002-07-16 01:19:29
100217,100217,100217,9403.04,refund,incomplete,For you and I are pa,2006-03-02 19:39:40,2006-08-03 06:55:57
100218,100218,100218,4557.60,debit,complete,"It is the east, and ",2024-06-09 17:14:32,2007-02-25 16:06:42
100219,100219,100219,6313.91,credit,incomplete,That it should come ,2017-11-20 12:58:56,2015-04-19 20:13:01
100220,100220,100220,2936.67,credit,complete,How bitter a thing i,2024-03-05 16:19:07,2006-08-09 14:12:28
100221,100221,100221,1093.42,refund,complete,Wisely and slow; the,2022-04-13 11:32:46,2016-06-04 08:40:50
100222,100222,100222,3688.73,refund,incomplete,Neither a borrower n,2021-04-24 12:41:50,2006-05-27 06:11:54
100223,100223,100223,8057.98,debit,incomplete,Can one desire too m,2006-07-08 17:20:30,2005-05-12 09:42:13
100224,100224,100224,150.27,credit,complete,A horse! a horse! my,2018-03-11 02:55:38,2017-05-17 07:56:30
100225,100225,100225,119.99,credit,complete,"To be, or not to be:",2015-04-26 16:51:53,2004-04-14 15:18:41
100226,100226,100226,6990.44,debit,complete,The king's name is a,2006-08-15 18:58:43,2011-12-11 00:23:58
100227,100227,100227,7191.68,debit,incomplete,Though this be madne,2011-08-27 21:44:12,2017-03-15 03:26:20
100228,100228,100228,3639.63,credit,complete,The fool doth think ,2006-09-12 08:46:24,2024-08-16 04:11:19
100229,100229,100229,4414.06,debit,incomplete,The king's name is a,2023-08-04 14:06:36,2003-06-07 11:22:15
100230,100230,100230,2727.91,debit,incomplete,O! she doth teach th,2004-03-27 12:19:25,2015-05-02 23:39:26
100231,100231,100231,9674.51,credit,incomplete,Neither a borrower n,2015-08-21 19:46:02,2024-06-14 09:28:22
100232,100232,100232,8464.49,debit,complete,Conscience is but a ,2019-08-20 23:48:46,2004-08-24 15:02:26
100233,100233,100233,7783.99,refund,complete,"When sorrows come, t",2024-11-16 23:04:26,2023-11-30 03:10:37
100234,100234,100234,4051.70,debit,complete,"To be, or not to be:",2020-09-17 15:12:14,2020-03-07 15:37:17
100235,100235,100235,9669.67,credit,complete,The king's name is a,2019-04-18 02:13:09,2021-05-31 18:20:10
100236,100236,100236,1012.71,debit,complete,"See, how she leans h",2023-06-15 07:43:37,2022-09-03 16:24:09
100237,100237,100237,5572.20,refund,incomplete,Not stepping o'er th,2004-06-01 07:48:40,2004-05-13 17:35:22
100238,100238,100238,1811.75,credit,complete,An honest tale speed,2010-01-06 22:11:56,2004-10-16 12:37:08
100239,100239,100239,747.98,debit,incomplete,The world is grown s,2010-09-15 16:23:05,2016-04-14 03:57:38
100240,100240,100240,4350.52,debit,complete,For ever and a day.,2020-09-12 02:08:03,2015-12-19 16:20:17
100241,100241,100241,4950.41,debit,incomplete,What's in a name? Th,2020-06-01 19:13:13,2008-07-22 23:17:12
100242,100242,100242,8237.46,credit,incomplete,A little more than k,2018-12-27 17:59:29,2012-11-15 07:05:45
100243,100243,100243,5040.72,debit,incomplete,The king's name is a,2013-08-23 13:16:04,2018-10-10 15:13:56
100244,100244,100244,7452.86,credit,complete,"It is the east, and ",2015-02-16 02:10:39,2011-08-04 04:42:26
100245,100245,100245,5656.61,debit,complete,I like this place an,2015-07-08 09:22:01,2025-03-23 17:03:28
100246,100246,100246,7885.32,debit,complete,Now is the winter of,2022-07-11 17:54:27,2008-01-28 09:16:25
100247,100247,100247,798.29,debit,incomplete,The world is grown s,2007-02-22 18:15:49,2005-01-04 10:35:42
100248,100248,100248,5814.13,refund,incomplete,I like this place an,2021-02-14 02:49:26,2020-11-13 04:57:28
100249,100249,100249,9487.13,debit,incomplete,For ever and a day.,2012-08-02 06:04:27,2013-09-19 13:54:18
